Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Love Hina: Gojasu Chiratto Happening!!,,,Konami,2003,PS2,,,,,,
Love Hina: Smile Again,,,Sega,2001,DC,,,,,,
Love Hina: Totsuzen no Engeji Happening,,,Sega,2000,DC,,,,,,
Love is...in Bloom: The Flower Shop Garden,,,Storm City Games,2010,DS,,,,,,
Love is...in Bloom: The Flower Shop Garden,,,Zushi Games,2009,Wii,,,,,,
Love Love Hamster,,,Digital Kids,2006,DS,,,,,,
Love Quest,,,Tokuma Shoten,1995,SNES,,,,,,
Love-Bride Eve,,,Unknown,2011,PC,,,,,,
Lovely Lisa 3D,,,Unknown,,3DS,,,,,,
Lovely Planet,,,TinyBuild Games,2014,Linux,,,,,,
Lovely Planet,,,TinyBuild Games,2014,OSX,,,,,,
Loveroot Zero: Kiss Kiss * Labyrinth,,,Dimple Entertainment,2010,PS2,,,,,,
Lovers in a Dangerous Spacetime,,,Asteroid Base,2020,OSX,,,,,,
Lovers in a Dangerous Spacetime,,,Asteroid Base,2020,XOne,,,,,,
Low G Man: The Low Gravity Man,,,Taxan,1990,NES,,,,,,
Lower Your Score with Tom Kite - Mental Messages,,,Intellivision Productions,1994,3DO,,,,,,
Lower Your Score with Tom Kite - Shot Making,,,Vise,1994,3DO,,,,,,
LoZ - Simdate RPG,,,Unknown,,PC,,,,,,
LSD,,,Asmik Ace Entertainment,1998,PS,,,,,,
LSD,,,Asmik Ace Entertainment,2010,PSN,,,,,,
Luc Bernard's Eternity's Child,,,Unknown,,DS,,,,,,
Luc Bernard's Eternity's Child,,,Unknown,,WW,,,,,,
Lucha Fury,,,Unknown,,PSN,,,,,,
Lucha Fury,,,Unknown,,PC,,,,,,
Lucha Fury,,,Mindscape,2011,XBL,,,,,,3
Lucha Libre AAA: Heroes del Ring,,,Unknown,,PSP,,,,,,
Lucha Libre AAA: Heroes del Ring,,,Unknown,2011,Wii,,,,,,
Lucha Libre AAA: Heroes del Ring,,,Unknown,,DSiW,,,,,,
Lucian Bee's: Justice Yellow / Evil Violet,,,5pb,2010,PSP,,,,,,
Lucian Bee's: Resurrection Supernova,,,5pb,2010,PSP,,,,,,
Lucian Bee's: Trilogy Box,,,5pb,2010,PSP,,,,,,
Lucid,,,Unknown,2011,PC,,,,,,
Lucidity,,,LucasArts,2009,XBL,,,,,,7
Lucidity,,,LucasArts,2009,PC,,,,,,7
Luciennes Quest,,,Panasonic Interactive Media,1995,3DO,,,,,,
Lucifer Ring,,,Toshiba EMI,1998,PS,,,,,,
Lucinda Green's Equestrian Challenge,,,Red Mile Entertainment,2006,PS2,,,,,,
Lucky * Star: Moe Drill,,,Kadokawa Shoten,2005,DS,,,,,,
Lucky * Star: Net Idol Meister,,,Kadokawa Shoten,2009,PSP,,,,,,
Lucky * Star: Ryouou Gakuen Outousai Portable,,,Kadokawa Shoten,2010,PSP,,,,,,
Lucky Clover,,,Anarchy Enterprises,2008,PC,,,,,,
Lucky Luke,,,Infogrames,1997,SNES,,,,,,
Lucky Luke,,,Infogrames,1996,GB,,,,,,
Lucky Luke (GBC),,,Infogrames,1999,GB,,,,,,
Lucky Luke: Desperado Train,,,Infogrames,2000,GB,,,,,,
Lucky Luke: On the Dalton's Trail,,,Infogrames,2000,PC,,,,,,
Lucky Luke: The Daltons,,,Atari,2008,DS,,,,,,
Lucky Luke: Wanted!,,,Infogrames,2001,GBA,,,,,,
Lucky Luke: Western Fever,,,Infogrames,2001,PS,,,,,,
Lucky Luke: Western Fever,,,Infogrames,2001,PC,,,,,,
Lucky Rabbit Reflex,,,Fabio Ricci,2012,OSX,,,,,,
Lucky Rabbit Reflex,,,Fabio Ricci,2012,Linux,,,,,,
Lucky Rabbit Reflex,,,Fabio Ricci,2012,PC,,,,,,
Lucle,,,Nintendo,1995,GB,,,,,,
Lufia & The Fortress of Doom,,,Taito,1993,SNES,,,,,,
Lufia & the Fortress of Doom,,,Unknown,,VC,,,,,,
Lufia II: Rise of the Sinistrals,,,Natsume,1996,SNES,,,,,,
Lufia: The Legend Returns,,,Natsume,2001,GB,,,,,,
LUFTRAUSERS,,,Vlambeer,2014,PSV,,,,,,
LUFTRAUSERS,,,Vlambeer,2014,PS3,,,,,,
LUFTRAUSERS,,,Vlambeer,2014,OSX,,,,,,
LUFTRAUSERS,,,Vlambeer,2014,Linux,,,,,,
Luftwaffe: Doitsu Kuugun o Shiki Seyo,,,Victor Interactive,1999,PS,,,,,,
Lugaru HD,,,Wolfire Games,2005,PC,,,,,,
Lula 3D,,,CDV Software Entertainment,2005,PC,,,,,,2
Lula Pinball,,,Unknown,,PC,,,,,,
Lula Pinball,,,Silver Fox Media,2013,3DS,,,,,,
Lula Virtual Babe,,,Take-Two Interactive,1998,PC,,,,,,
Lula: The Sexy Empire,,,Take-Two Interactive,1998,PC,,,,,,
Lume,,,Unknown,2011,PC,,,,,,
Lumi,,,Microsoft,2010,XBL,,,,,,
Lumines,,,WildTangent,2007,PC,,,,,,
Lumines,,,Q Entertainment,2009,PS3,,,,,,
Lumines,,,Q Entertainment,2006,X360,,,,,,
Lumines,,,Ubisoft,2007,PS2,,,,,,
Lumines,,,Ubisoft,2005,PSP,,,,,,
Lumines Advance Pack,,,Q Entertainment,2008,PC,,,,,,
Lumines Live!,,,Q Entertainment,2006,XBL,,,,,,
Lumines Plus,,,Disney Interactive Studios,2007,PS2,,,,,,
Lumines Supernova,,,Q Entertainment,2008,PSN,,,,,,
Lumino City,,,State of Play Games,2015,PC,,,,,,
Luminux,,,Bulkypix,2014,And,,,,,,
Lunar 2: Eternal Blue,,,Working Designs,1995,SCD,,,,,,
Lunar Jetman,,,Unknown,1983,PC,,,,,,
Lunar Jetman (original),,,Unknown,,PC,,,,,,
Lunar Lander,,,Pack-In-Video,1990,GB,,,,,,
Lunar Pool,,,FCI,1987,NES,,,,,,
Lunar Pool,,,D4 Enterprise,2007,VC,,,,,,
Lunar Wing,,,Takara,2001,PS,,,,,,
Lunar: Eternal Blue,,,Working Designs,1995,SCD,,,,,,8.9
Lunar: Sanposuru Gakuen,,,Game Arts,1996,GG,,,,,,
Lunar: Silver Star Harmony,,,Xseed Games,2010,PSN,,,,,,7.9
Lunar: The Silver Star,,,Working Designs,1993,SCD,,,,,,8.8
Lunatic Dawn FX,,,NEC Interchannel,1995,PCFX,,,,,,
Lunatic Dawn III,,,ArtDink,1998,PS,,,,,,
Lunatic Dawn Odyssey,,,ArtDink,1999,PS,,,,,,
Lunatic Dawn Odyssey,,,Sony Computer Entertainment,2009,PSN,,,,,,
Lupin III: Columbus no Isan wa Akenisomaru,,,Banpresto,2004,PS2,,,,,,
Lupin III: Densetsu no Hihou o Oe!,,,Epoch,1997,SNES,,,,,,
Lupin III: Pyramid no Kenja,,,Asmik Ace Entertainment,1998,SAT,,,,,,
Lupin III: The Master File,,,Mizuki,1996,SAT,,,,,,
Lupin III: Umi ni Kieta Hihou,,,Asmik Ace Entertainment,2003,GC,,,,,,
Lupin Sansei,,,Daiki,1998,PS,,,,,,
Lupin Sansei: Chateau de Cagliostro Saikai,,,Asmik Ace Entertainment,1997,PS,,,,,,
Lupin Sansei: Pandora no Isan,,,Namco,1987,NES,,,,,,
Lupin the 3rd Chronicles,,,Spike,1997,SAT,,,,,,
Lure of the Temptress,,,Konami,1992,PC,,,,,,
Luv Me Buddies Wonderland,,,O2 Games,2014,WiiU,,,,,,
Luvinia Online,,,Outspark,2011,PC,,,,,,
Luxor,,,Activision,2005,PC,,,,,,
Luxor 2,,,United Developers,2007,XBL,,,,,,5.5
Luxor 2,,,Mumbo Jumbo,2006,PC,,,,,,
Luxor 3,,,Mumbo Jumbo,2008,PC,,,,,,
Luxor Adventures,,,Mumbo Jumbo,2009,PC,,,,,,
Luxor Amun Rising,,,Mac Play,2005,PC,,,,,,
Luxor Mahjong,,,Mumbo Jumbo,2006,PC,,,,,,
Luxor: Pharaoh's Challenge,,,Mumbo Jumbo,2007,PSN,,,,,,
Luxor: Pharaoh's Challenge,,,Mumbo Jumbo,2007,PS2,,,,,,
Luxor: Pharaoh's Challenge,,,Mumbo Jumbo,2007,PSP,,,,,,
Luxor: Quest for the Afterlife,,,Mumbo Jumbo,2008,PC,,,,,,
Luxor: The Wrath of Set,,,Mumbo Jumbo,2010,PSN,,,,,,
Luxury Liner Tycoon,,,Global Star Software,2004,PC,,,,,,
Lycoris Radiata,,,Terios,2006,PC,,,,,,
Lynx Casino,,,Atari,1992,Lynx,,,,,,
Lynx Othello,,,Unknown,2000,Lynx,,,,,,
Lyrical Lyric,,,Marmalade,2007,PC,,,,,,
Lyrical Mint,,,Untouchable,2002,PC,,,,,,
M & M's Mini Madness,,,Majesco,2000,GB,,,,,,
M&M's Adventure,,,Zoo Digital Publishing,2008,Wii,,,,,,
M&M's Adventure,,,Zoo Digital Publishing,2009,PS2,,,,,,
M&M's Break' Em,,,DSI Games,2007,DS,,,,,,
M&M's Break' Em,,,DSI Games,2007,GBA,,,,,,
M*A*S*H,,,20th Century Fox Video Games,1983,2600,,,,,,
M-1 Abrams Battle Tank,,,Sega,1991,GEN,,,,,,
M.A.V.,,,BombDog,2020,PC,,,,,,
M.A.X: Mechanized Assault & Exploration,,,Interplay,1996,PC,,,,,,
M.A.X: Mechanized Assault & Exploration 2,,,Interplay,1998,PC,,,,,,
M.C. Kids,,,Virgin Interactive,1992,NES,,,,,,
M.I.A.: Missing in Action,,,GT Interactive,1998,PC,,,,,,
M.O.Z.O.X. Space Salvager,,,Unknown,2011,PSN,,,,,,
M.U.L.E.,,,Mindscape,1990,NES,,,,,,
M.U.S.H.A. - Metallic Uniframe Super Hybrid Armor,,,Seismic,1990,GEN,,,,,,
M.U.S.H.A. - Metallic Uniframe Super Hybrid Armor,,,Sega,2009,VC,,,,,,
M1 Tank Platoon,,,Microprose,1989,PC,,,,,,
M3 The Dark Metal: Mission Memento Mori,,,Namco Bandai Games,2014,PSV,,,,,,
Ma-Gi: Marginal,,,Princess Soft,2003,DC,,,,,,
Mabinogi,,,Nexon,2008,PC,,,,,,
Maboroshi Tsukiyo,,,Sims,1999,DC,,,,,,
Maboshi's Arcade,,,Nintendo,2008,WW,,,,,,8.5
Macaroni Houren Shou Interactive,,,Toshiba EMI,1995,3DO,,,,,,
MacGyver: Deadly Descent,,,FairPlay Media Limited,2014,And,,,,,,
Mach Go Go Go,,,Tomy Corporation,1997,GB,,,,,,
Mach Rider,,,Nintendo,1985,NES,,,,,,
Mach Rider,,,Nintendo,2007,VC,,,,,,
Mach Rider,,,Nintendo,2014,3DS,,,,,,
Mach Rider,,,Nintendo,2014,WiiU,,,,,,
Machi no Pet-Ya-San DS: Wannyan 200-Hiki Daishuugou,,,E-Frontier,2007,DS,,,,,,
Machiavelli's Ascent,,,Microsoft,2008,XBL,,,,,,
Machinarium,,,Unknown,,PSN,,,,,,
Machine Head,,,Eidos Interactive,1996,SAT,,,,,,
Machine Maiden Next,,,Evolution Games,2002,PC,,,,,,
Machines,,,Acclaim Entertainment,1999,PC,,,,,,
Machines at War 3,,,Isotope 244 LLC,2014,PC,,,,,,
Machines at War 3,,,Isotope 244 LLC,2014,OSX,,,,,,
Macross 7:Ginger no Heart o Furuwa Sero!!,,,Epoch,2000,GB,,,,,,
Macross Aiuchi Typing Protoculture,,,SSI,2003,PC,,,,,,
Macross Aiuchi Typing Valkyrie,,,SSI,2002,PC,,,,,,
Macross M3,,,Shoeisha,2001,DC,,,,,,4
Macross Plus Game Edition,,,Takara,2000,PS,,,,,,
Macross Since 1983,,,Media Kite,1998,PC,,,,,,
Macross VF-X 2,,,Bandai,1999,PS,,,,,,
Macross: Another Story,,,Media Kite,1999,PC,,,,,,
Macross: True Love Song,,,Lay-Up,2000,WS,,,,,,
MAD,,,US Games,1982,2600,,,,,,
Mad Blocker Adventure,,,Unknown,,PSV,,,,,,
Mad Blocker Alpha: Revenge of the Fluzzles,,,Unknown,2011,PSN,,,,,,
Mad Dog II: The Lost Gold,,,American Laser Games,1994,3DO,,,,,,
Mad Dog II: The Lost Gold,,,American Laser Games,1994,SCD,,,,,,
Mad Dog II: The Lost Gold,,,American Laser Games,1996,PC,,,,,,
Mad Dog McCree,,,American Laser Games,1994,3DO,,,,,,
Mad Dog McCree,,,American Laser Games,1993,SCD,,,,,,
Mad Dog McCree,,,Digital Leisure Inc.,2002,PC,,,,,,
Mad Max,,,Mindscape,1990,NES,,,,,,
Mad Max (2013),,,Warner Bros. Interactive Entertainment,2015,X360,,,,,,
Mad Max (2013),,,Warner Bros. Interactive Entertainment,2015,PS3,,,,,,
Mad Monkey : Best Arcade Kid Game (Kids Games+ Retro Arcade = Fun),,,Youda Games,2012,PC,,,,,,
Mad Monkey : Best Arcade Kid Game (Kids Games+ Retro Arcade = Fun),,,G5 Entertainment,2012,OSX,,,,,,
Mad Monkey : Best Arcade Kid Game (Kids Games+ Retro Arcade = Fun),,,G5 Entertainment,2011,And,,,,,,
Mad Skills Motocross 2,,,Turborilla,2014,And,,,,,,
Mad Stalker: Full Metal Force,,,NEC Interchannel,1994,PCE,,,,,,
Mad Stalker: Full Metal Force,,,Family Soft,1997,PS,,,,,,
Mad Stalker: Full Metal Force,,,Family Soft,2011,PSN,,,,,,
Mad Tracks,,,D3 Publisher,2007,XBL,,,,,,
Mad Tracks,,,Element 5,2006,PC,,,,,,
Mad TV,,,Rainbow Arts,1991,PC,,,,,,
Mad TV 2,,,FunSoft,1996,PC,,,,,,
Madagascar 3: The Video Game,,,D3Publisher,2012,Wii,,,,,,
Madagascar 3: The Video Game,,,D3Publisher,2012,PS3,,,,,,
Madagascar 3: The Video Game,,,D3Publisher,2012,DS,,,,,,
Madballs in Babo:Invasion,,,Unknown,,XBL,,,,,,
MadBalls in... Babo: Invasion,,,Playbrains,2009,PC,,,,,,
MadBalls in... Babo: Invasion,,,Microsoft,2009,XBL,,,,,,7.5
Madden '95,,,Malibu Games,1994,GB,,,,,,
Madden 96,,,Black Pearl,1996,GG,,,,,,
Madden 96,,,Black Pearl,1995,GB,,,,,,
Madden 97,,,Black Pearl,1996,GB,,,,,,
Madden NFL '94,,,Electronic Arts,1993,SNES,,,,,,
Madden NFL '94,,,EA Sports,1994,GEN,,,,,,
Madden NFL '95,,,Electronic Arts,1994,SNES,,,,,,
Madden NFL '95,,,THQ,1995,GG,,,,,,
Madden NFL 06,,,EA Sports,2005,PC,,,,,,
Madden NFL 07,,,EA Sports,2006,PC,,,,,,8.5
Madden NFL 10,,,Electronic Arts,2009,PSN,,,,,,
Madden NFL 11,,,EA Sports,2010,PSN,,,,,,
Madden NFL 12,,,EA Sports,2011,3DS,,,,,,
Madden NFL 12,,,EA Sports,2011,PS2,,,,,,
Madden NFL 2000,,,THQ,1999,GB,,,,,,
Madden NFL 2000,,,EA Sports,1999,PC,,,,,,
Madden NFL 2001,,,EA Sports,2000,GB,,,,,,
Madden NFL 2001,,,EA Sports,2000,PC,,,,,,
Madden NFL 2002,,,EA Sports,2001,GB,,,,,,
Madden NFL 2002,,,EA Sports,2001,PC,,,,,,
Madden NFL 2003,,,EA Sports,2002,PS,,,,,,
Madden NFL 2003,,,EA Sports,2002,PC,,,,,,
Madden NFL 2004,,,EA Sports,2003,PC,,,,,,
Madden NFL 2004,,,EA Sports,2003,PS,,,,,,
Madden NFL 2005,,,EA Sports,2004,PC,,,,,,
Madden NFL 2005,,,EA Sports,2004,PS,,,,,,
Madden NFL 95,,,EA Sports,1994,GEN,,,,,,
Madden NFL 96,,,EA Sports,1995,SNES,,,,,,
Madden NFL 96,,,EA Sports,1995,GEN,,,,,,
Madden NFL 96,,,EA Sports,1995,PC,,,,,,
Madden NFL 97,,,EA Sports,1996,SNES,,,,,,
Madden NFL 97,,,EA Sports,1996,SAT,,,,,,
Madden NFL 97,,,EA Sports,1997,GEN,,,,,,
Madden NFL 97,,,EA Sports,1996,PC,,,,,,
Madden NFL 98,,,EA Sports,1997,GEN,,,,,,
Madden NFL 98,,,Black Pearl,1997,SNES,,,,,,
Madden NFL 98,,,EA Sports,1997,PC,,,,,,
Madden NFL 98,,,EA Sports,1997,SAT,,,,,,
Madden NFL 99,,,EA Sports,1998,PC,,,,,,
Madden NFL Arcade,,,EA Sports,2009,PSN,,,,,,
Madden NFL Arcade,,,EA Sports,2009,XBL,,,,,,6.3
MADDENING,,,Toco Games,2014,PC,,,,,,
MADDENING,,,Toco Games,2014,OSX,,,,,,
Made in Chelsea The Game,,,Channel 4 Television Corporation,2014,And,,,,,,
Made Man: Confessions of the Family Blood,,,Aspyr,2007,PS2,,,,,,
Made Man: Confessions of the Family Blood,,,Aspyr,2007,PC,,,,,,
Madera & Figaro in The Rescue of Ginger,,,Unknown,2014,Ouya,,,,,,
Madou Monogatari A: DokiDoki Bake~shon,,,Compile,1995,GG,,,,,,
Madou Monogatari I,,,Compile,1996,GEN,,,,,,
Madou Monogatari I: 3-tsu no Madouryoku,,,Sega,1993,GG,,,,,,
Madou Monogatari I: Honoo no Sotsuenko,,,NEC Interchannel,1996,PCE,,,,,,
Madou Monogatari II: Arles 16-Sai,,,Sega,1994,GG,,,,,,
Madou Monogatari III: Kyuukyoku Joou-Sama,,,Sega,1994,GG,,,,,,
Madou Monogatari: Hanamaru Daiyouchi Enji,,,Tokuma Shoten,1996,SNES,,,,,,
Madouou Granzort,,,Hudson Soft,1990,PCE,,,,,,
MADRISM,,,Microsoft,2009,XBL,,,,,,
MadStone,,,Riverman Media,2008,WW,,,,,,
Maestro! Green Groove,,,Neko Entertainment,2010,DSiW,,,,,,
Mafia II: Jimmy's Vendetta,,,2K Games,2010,XBL,,,,,,
Mafia II: Jimmy's Vendetta,,,2K Games,2010,PSN,,,,,,
Mafia II: Jimmy's Vendetta,,,2K Games,2010,PC,,,,,,
Mafia II: Joe's Adventures,,,2K Games,2010,XBL,,,,,,
Mafia II: Joe's Adventures,,,2K Games,2010,PSN,,,,,,
Mafia II: Joe's Adventures,,,2K Games,2010,PC,,,,,,
Mafia II: The Betrayal of Jimmy,,,2K Games,2010,PSN,,,,,,
Mafia Wars (Facebook),,,Zynga,2009,PC,,,,,,
Mag Force Racing,,,Crave Entertainment,2000,DC,,,,,,6.9
MAG: Massive Action Game,,,Sony Computer Entertainment,2010,PSN,,,,,,7.4
Magatama,,,Microsoft Game Studios,2003,XB,,,,,,
Magatama,,,Microsoft Game Studios,2007,XBL,,,,,,
Mage & Minions,,,"Making Fun, Inc.",2014,And,,,,,,
Mage's Initiation: Reign of the Elements,,,Unknown,2015,PC,,,,,,
Mage's Initiation: Reign of the Elements,,,Himalaya Studios,2015,Linux,,,,,,
Mage's Initiation: Reign of the Elements,,,Himalaya Studios,2015,OSX,,,,,,
MageSlayer,,,GT Interactive,1997,PC,,,,,,
Magi Nation,,,Unknown,2001,GB,,,,,,
Magi Nation,,,Epoch,2002,GBA,,,,,,
Magi: Hajimari no Meikyuu,,,Namco Bandai Games,2013,3DS,,,,,,
Magic & Mayhem,,,Virgin Interactive,1998,PC,,,,,,
Magic & Mayhem: The Art of Magic,,,Bethesda Softworks,2001,PC,,,,,,
Magic 2014: Duels of the Planeswalkers,,,Wizards of the Coast,2013,X360,,,,,,
Magic 2014: Duels of the Planeswalkers,,,Wizards of the Coast,2013,PS3,,,,,,
Magic 2014: Duels of the Planeswalkers,,,Wizards of the Coast,2013,PC,,,,,,
Magic 2014: Duels of the Planeswalkers,,,Wizards of the Coast,2013,And,,,,,,
Magic Boy,,,JVC,1996,SNES,,,,,,
Magic Boy,,,Empire Interactive,1993,PC,,,,,,
Magic Carpet,,,Electronic Arts,1996,SAT,,,,,,
Magic Carpet,,,Electronic Arts,1994,PC,,,,,,9
Magic Carpet,,,Sony Computer Entertainment,2010,PSN,,,,,,
Magic Carpet 2: The Netherworlds,,,Electronic Arts,1996,PC,,,,,,
Magic Destiny -Astrological Games-,,,Unknown,2011,WW,,,,,,
Magic Duels: Origin,,,Wizards of the Coast,2016,XOne,,,,,,
Magic Duels: Origin,,,Wizards of the Coast,2016,PS4,,,,,,
Magic Duels: Origin,,,Wizards of the Coast,2016,PC,,,,,,
Magic Johnson's Fast Break,,,Tradewest,1990,NES,,,,,,
Magic Knight Rayearth,,,Working Designs,1998,SAT,,,,,,
Magic Orbz,,,Sony Computer Entertainment,2009,PSN,,,,,,
Magic Sword,,,Capcom,1993,SNES,,,,,,
Magic: The Gathering,,,Sega,2001,DC,,,,,,
Magic: The Gathering - Battlegrounds,,,Atari,2003,PC,,,,,,
Magic: The Gathering - Battlemage,,,Acclaim Entertainment,1997,PC,,,,,,
Magic: The Gathering - Duels of the Planeswalkers,,,Wizards of the Coast,2010,PC,,,,,,7.5
Magic: The Gathering - Duels of the Planeswalkers,,,Wizards of the Coast,2009,XBL,,,,,,8
Magic: The Gathering - Duels of the Planeswalkers,,,Wizards of the Coast,2010,PSN,,,,,,
Magic: The Gathering - Duels of the Planeswalkers (1998),,,Wizards of the Coast,1998,PC,,,,,,
Magic: The Gathering - Duels of the Planeswalkers 2012,,,Wizards of the Coast,2011,PSN,,,,,,7.3
Magic: The Gathering - Duels of the Planeswalkers 2012,,,Wizards of the Coast,2011,XBL,,,,,,7.7
Magic: The Gathering - Tactics,,,Sony Online Entertainment,2011,PC,,,,,,
Magic: The Gathering - Tactics,,,Unknown,,PSN,,,,,,
Magic: The Gathering Online,,,Wizards of the Coast,2002,PC,,,,,,
Magic: The Gathering Online 2.0,,,Wizards of the Coast,2005,PC,,,,,,
Magic: The Gathering Online III,,,Wizards of the Coast,2008,PC,,,,,,
Magic: The Gathering Online: Champions of Kamigawa,,,Wizards of the Coast,2004,PC,,,,,,
Magic: The Gathering Spells Of The Ancients,,,Microprose,1997,PC,,,,,,
Magical * Taruruuto-kun,,,Bandai,1991,GB,,,,,,
Magical * Taruruuto-kun 2: Raiba Zone Panic!!,,,Bandai,1992,GB,,,,,,
Magical Battle Festa,,,Unknown,2015,PC,,,,,,
Magical Beat,,,Arc System Works,2014,PSV,,,,,,
Magical Chase,,,NEC,1993,PCE,,,,,,
Magical Chase GB,,,Micro Cabin,2000,GB,,,,,,
Magical Date: Doki Doki Kouhaku Daisakusen,,,Taito,1997,PS,,,,,,
Magical Diary,,,Fabio Ricci,2012,PC,,,,,,
Magical Diary,,,Fabio Ricci,2012,OSX,,,,,,
Magical Diary,,,Fabio Ricci,2012,Linux,,,,,,
Magical Drop,,,Classified Games,2000,GB,,,,,,
Magical Drop,,,Data East,1995,SNES,,,,,,
Magical Drop,,,G-mode,2007,VC,,,,,,
Magical Drop,,,Data East,1995,SAT,,,,,,
Magical Drop,,,Data East,1996,PS,,,,,,
Magical Drop + Wonderful!,,,Data East,1999,PS,,,,,,
Magical Drop 2,,,Data East,1996,SNES,,,,,,
Magical Drop 2,,,SNK,1996,NG,,,,,,
Magical Drop 2,,,Sega,1996,SAT,,,,,,
Magical Drop 2 (CD),,,Data East,1996,NG,,,,,,
Magical Drop F,,,Sony Computer Entertainment,2010,PSN,,,,,,
Magical Drop F: Daibouken Mo Rakujyanai!,,,Data East,1999,PS,,,,,,
Magical Drop for WonderSwan,,,Data East,1999,WS,,,,,,
Magical Drop II,,,D4 Enterprise,2010,VC,,,,,,
Magical Drop III,,,SNK,1997,NG,,,,,,
Magical Drop III,,,Data East,1997,SAT,,,,,,
Magical Drop III,,,Swing! Entertainment,2000,PS,,,,,,
Magical Drop III,,,D4 Enterprise,2010,VC,,,,,,
Magical Drop Yurutto,,,G-mode,2009,DSiW,,,,,,
Magical fantasista,,,G-mode,2010,DSiW,,,,,,
Magical Houshin,,,KOEI,2002,GBA,,,,,,
Magical Medical,,,Konami,1998,PS,,,,,,
Magical Melody Fanidanshingu Country,,,Microsoft,2009,XBL,,,,,,
Magical Puzzle Popils,,,Tengen,1992,GG,,,,,,
Magical Tetris Challenge,,,Capcom,2000,GB,,,,,,
Magical Tetris Challenge,,,Sony Computer Entertainment,1999,PS,,,,,,
Magical Whip: Wizards of Phantasmal Forest,,,SilverStar,2010,DSiW,,,,,,
Magical Whip: Wizards of Phantasmal Forest,,,Agetec,2011,DSi,,,,,,
Magical Whip: Wizards of Phantasmal Forest,,,Agetec,2011,3DS,,,,,,
MagiCard,,,"CommaVid, Inc.",1982,2600,,,,,,
Magician Lord,,,SNK,1991,NG,,,,,,
Magician Lord,,,D4 Enterprise,2007,VC,,,,,,
Magician Lord,,,SNK Playmore,2010,PSN,,,,,,
Magician Lord (CD),,,SNK,1994,NG,,,,,,
Magician Lord (PSP),,,SNK Playmore,2011,PSN,,,,,,
Magicians & Looters,,,Morgopolis Studios,2013,X360,,,,,,
Magicians & Looters,,,Morgopolis Studios,2013,PC,,,,,,
Magicka,,,Unknown,,XBL,,,,,,
Magicka,,,Unknown,,PSN,,,,,,
Magicka 2,,,Paradox Interactive,2015,PS4,,,,,,
Magicka Plus,,,Paradox Interactive,2011,PC,,,,,,
Magicka: Caverns,,,Paradox Interactive,2011,PC,,,,,,
Magicka: Final Frontier,,,Paradox Interactive,2011,PC,,,,,,
Magicka: Frozen Lake,,,Paradox Interactive,2011,PC,,,,,,
Magicka: Marshlands,,,Paradox Interactive,2011,PC,,,,,,
Magicka: Nippon,,,Paradox Interactive,2011,PC,,,,,,
Magicka: Party Robes,,,Paradox Interactive,2011,PC,,,,,,
Magicka: The Watchtower,,,Paradox Interactive,2011,PC,,,,,,
Magicka: Wizard Wars,,,Paradox Interactive,2014,OSX,,,,,,
Magicka: Wizard Wars,,,Paradox Interactive,2014,PC,,,,,,
Magicka: Wizard's Survival Kit,,,Paradox Interactive,2011,PC,,,,,,
Magma Balls,,,Unknown,,GIZ,,,,,,
MagMax,,,FCI,1988,NES,,,,,,
Magna Carta: The Phantom of Avalanche,,,SoftMax,2002,PC,,,,,,
Magna Mundi,,,Paradox Interactive,2012,PC,,,,,,
Magnetic Cube,,,Wicked Loot,2014,PC,,,,,,
Magnetic Defender,,,Microsoft,2009,XBL,,,,,,
Magnetic Joe,,,Unknown,2011,DSiW,,,,,,
Magnetica Twist,,,Nintendo,2008,WW,,,,,,
Magnetis,,,Yullaby,2009,WW,,,,,,
Magnetis,,,Yullaby,2009,PC,,,,,,
Magnifico,,,Matrix Games,2014,And,,,,,,
Magnify Physics,,,Unknown,,iQue,,,,,,
Magrunner: Dark Pulse,,,Unknown,2020,X360,,,,,,
Magrunner: Dark Pulse,,,Focus Home Interactive,2020,PS3,,,,,,
Magrunner: Dark Pulse,,,Focus Home Interactive,2013,PC,,,,,,
MagusTale Eternity: Seikaiju to Koisuru Mahou Tsukai,,,GN Software,2009,PSP,,,,,,
Maharaja,,,Sunsoft,1989,NES,,,,,,
Mahjong,,,Cosmigo,2009,WW,,,,,,
Mahjong,,,DTP Entertainment,2011,DSiW,,,,,,
Mahjong * Dream C Club,,,Unknown,2014,PC,,,,,,
Mahjong * Dream C Club,,,Unknown,2014,PC,,,,,,
Mahjong 63 Motel,,,Microsoft,2009,XBL,,,,,,
Mahjong Cop Ryuu: Shiro Ookami no Yabou,,,Sega,1989,GEN,,,,,,
Mahjong Doukyuusei Special,,,Unknown,1996,SAT,,,,,,
Mahjong Fairyland,,,Unknown,,GIZ,,,,,,
Mahjong Fight Club: Shinsei Zenkoku Taisen Han,,,Konami,2011,PSV,,,,,,
Mahjong Fight Club: Zenkoku Taisen Ban,,,Konami,2006,PSP,,,,,,
Mahjong Gakuen Toumasou Shirou Toujou,,,FACE,1989,PCE,,,,,,
Mahjong Gakuen Toumasou Shirou Toujou Mild,,,FACE,1990,PCE,,,,,,
Mahjong Gakuensai,,,Unknown,1997,SAT,,,,,,
Mahjong Gakuensai DX,,,Unknown,1998,SAT,,,,,,
