Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Grand Theft Auto IV,10.57,,Rockstar Games,2008,PS3,0.44,4.79,1.62,3.73,9,10
Brain Age: Train Your Brain in Minutes a Day,,19.01,Nintendo,2006,DS,,,,,,8.1
World of Warcraft,,12,Blizzard Entertainment,2004,PC,,,,,8,9.2
Gran Turismo 5,,11.95,Sony Computer Entertainment,2010,PS3,,,,,,8.3
Super Mario All-Stars,,10.55,Nintendo,1993,SNES,,,,,9.5,
Rocket League,,10.5,Psyonix,2015,Series,,,,,,
Rocket League,,10.5,Psyonix,2015,All,,,,,,
Tomodachi,,10.47,Nintendo,2014,Series,,,,,,
Call of Duty: Ghosts,,19,Activision,2013,All,,,,,,
Driver,,19,GT Interactive,1999,Series,,,,,,
WarCraft,,19,Blizzard Entertainment,1994,Series,,,,,,
Super Mario 64,,11.91,Nintendo,1996,N64,,,,,9.2,9.7
FIFA 18,11.8,,EA Sports,2017,PS4,0.15,1.27,1.73,8.64,,8.3
The Last of Us Remastered,,11.78,Sony Computer Entertainment,2014,PS4,,,,,,9.5
Gran Turismo 4,,11.76,Sony Computer Entertainment,2005,PS2,,,,,,8.7
Animal Crossing: Wild World,,11.75,Nintendo,2005,DS,,,,,,8.5
Resident Evil 7,,11.7,Capcom,2017,All,,,,,,
Call of Duty: Ghosts,10.41,,Activision,2013,X360,0.04,6.76,0.98,2.64,,6.9
Star Fox,,10.28,Nintendo,1993,Series,,,,,,
Mario Kart 7,,18.97,Nintendo,2011,3DS,,,,,,8.2
Super Mario Party,,18.79,Nintendo,2018,NS,,,,,,7.3
Midnight Club,,18.5,Rockstar Games,2000,Series,,,,,,
Super Mario Land,,18.14,Nintendo,1989,GB,,,,,,
Ace Combat,,18,Namco,1995,Series,,,,,,
The Room,,11.6,Fireproof Games,2012,Series,,,,,,
Nobunaga's Ambition,,10.2,KOEI,1983,Series,,,,,,
Call of Duty: Ghosts,10.13,,Activision,2013,PS3,0.39,4.11,1.62,4.01,,7.5
Splatoon 3,,10.13,Nintendo,2022,NS,,,,,,
Max Payne,,11.5,Rockstar Games,2001,Series,,,,,,
Taiko no Tatsujin,,11.29,Namco,2004,Series,,,,,,
Dragon Age,,11.2,Electronic Arts,2009,Series,,,,,,
SaGa,,10.1,Square Enix,1990,Series,,,,,,
Resident Evil 2 (2019),,11.2,Capcom,2019,All,,,,,,
Super Mario Land 2: 6 Golden Coins,,11.18,Nintendo,1992,GB,,,,,,9
Assassin's Creed Odyssey,,10,Ubisoft,2018,All,,,,,,
Assassin's Creed Origins,,10,Ubisoft,2017,All,,,,,,
Age of Empires,,30.82,Microsoft,1997,Series,,,,,,
Wii Party,,11.14,Nintendo,2010,Series,,,,,,
Grand Theft Auto IV,11.09,,Rockstar Games,2008,X360,0.14,6.8,1.04,3.11,,10
Assassin's Creed Unity,,10,Ubisoft,2014,All,,,,,,
Broken Sword,,10,Virgin Interactive,1996,Series,,,,,,
Buzz!,,10,Sony Interactive Entertainment,2005,Series,,,,,,
Ratchet & Clank,,30.81,Sony Interactive Entertainment,2002,Series,,,,,,
New Super Mario Bros.,,30.8,Nintendo,2006,DS,,,,,8.1,9.1
The Legend of Zelda: Breath of the Wild,,30.7,Nintendo,2017,All,,,,,,
Big Brain Academy,,11.08,Nintendo,2006,Series,,,,,,
