Game,Publisher,Critic_Score,User_Score,Copies,Total_Sales,Year,Genre
Maru Goukaku: Shikaku Dasshu! Kaigo Fukushisi Shiken,Media5,,,,,2011,Misc
Colin McRae Rally 3,Codemasters,,,,1.4,2003,Racing
The Witch's Yarn,Mousechief,,,,,2014,Misc
Sea-Doo HydroCross,Vatical Entertainment,,,,,2001,Racing
Halo 3: ODST,Microsoft Game Studios,8.7,,3,,2009,Shooter
Last Imperial Prince,NEC,,,,,1997,Role-Playing
Dragon's Curse,NEC,,,,,1991,Platform
Sorcerer's Apprentice,Atari,,,,,1983,Action
Actual Crimes: Jack the Ripper,Sanuk Games,,,,,2010,Adventure
Fireblade,Midway Games,,,,,2003,Action
Might and Magic: Darkside of Xeen,New World Computing,,,,,1993,Role-Playing
Crayon Shin-Chan: Arashi o Yobu Enji,Bandai,,,,0.46,1993,Platform
Guess The Movie Quiz,Bubble Quiz Games,,,,,2014,Action
Date or Ditch,Gameloft,,,,,2010,Simulation
Dungreed,TEAM HORAY,,,0.13,,2018,Action
Brain Age 2: More Training in Minutes a Day,Nintendo,8,,14.88,,2007,Misc
Soccer Kid,Telegames,,,,0,2002,Platform
PerlMania,Microsoft,,,,,2009,Puzzle
Beat 'Em & Eat 'Em,Mystique,,,,,1982,Action
Aces of the Galaxy,Sierra Online,7.8,,,,2008,Shooter
Interplay Sports Baseball 2000,Interplay,,,,0.06,1999,Sports
Mega Man: Battle & Chase,Capcom,,,,0.07,1998,Racing
Acid,Taki,,,,,1999,Action
Time of Defiance,Strategy First,,,,,2004,Strategy
NFL Quarterback Club 97,Acclaim Entertainment,,,,0.22,1996,Sports
WWE 2k17,2K Games,,,,,2017,Fighting
The War in Heaven,ValuSoft,,,0.01,,1999,Action
Honmei Boy,Nichibutsu,,,,,1994,Simulation
Andromeda Conquest,Wizards of the Coast,,,,,1982,Strategy
Sweet Lily Dreams,Unknown,,,,,2014,Misc
Flips: The Folk of the Faraway Tree,Electronic Arts,,,,,2010,Misc
Banner Saga 3,Versus Evil,,,,,2018,Role-Playing
Honeycomb Beat,Konami,,,,0.06,2007,Puzzle
Metal Gear Solid: The Twin Snakes,Konami,8.1,,0.35,,2004,Action
Ratchet & Clank: Going Commando (JP weekly sales),Sony Computer Entertainment,,,,0.24,2003,Action
The Outer Worlds,Private Division,,,,,2019,Role-Playing
Valhalla Knights 3,Xseed Games,,,,0.18,2013,Misc
Frantics,Sony Interactive Entertainment,,,,,2018,Party
Chaos Rings,Square Enix,,,,,2013,Misc
Madden NFL 07,EA Sports,,,7.4,,2006,Sports
Quarterback Attack with Mike Ditka,Digital Pictures,,,,,1996,Sports
MLB Slam!,THQ,2.8,,,,2008,Sports
Jade Empire: Special Edition,2K Games,7.8,,,0,2007,Role-Playing
Space Bust-A-Move,Square Enix,,,,0.13,2009,Puzzle
Me & My Katamari (JP sales),Namco,,,,0.08,2006,Puzzle
Battlefield 2: Modern Combat,Electronic Arts,,,1.64,,2005,Shooter
Yoku's Island Express,Villa Gorilla,9,,,0.02,2018,Action
Super Turrican,Seika,,,,,1993,Platform
Space Pirates And Zombies 2,MinMax Games Ltd.,,,0.1,,2017,Strategy
Death Coming,Zodiac Interactive,,,0.19,,2017,Puzzle
Street Fighter II,Capcom,,,14.05,,1991,Fighting
Crystal Crush,Microsoft,,,,,2008,Puzzle
Ori and the Blind Forest: Definitive Edition,Microsoft Studios,,,,,2016,Platform
Shadow Dancer: The Secret of Shinobi,Sega,,,,,2010,Platform
PlayStation Move Heroes,Sony Computer Entertainment,4.8,,,0.18,2011,Platform
Shadow Tower: Abyss,From Software,,,,,2003,Role-Playing
WRC 2: FIA World Rally Championship,Ubisoft,,,,0.16,2011,Racing
Fushigi no Umi no Nadia: Inherit the Blue Water,GeneX,,,,,2005,Adventure
Monster * Race,KOEI,,,,,1998,Role-Playing
Front Line,Taito,,,,0.24,1982,Action
Langrisser IV & V: Final Edition,Atlus,,,,,2009,Strategy
Combat Chess,Empire Interactive,,,,,1997,Strategy
Saru! Get You! Million Monkeys,Sony Computer Entertainment,,,,0.12,2016,Platform
Mithra Episode 1: The Calling,Microsoft,,,,,2009,Action
Code: Realize - Guardian of Rebirth,Aksys Games,,,,0.12,2015,Adventure
Behold the Kickmen,Ant Workshop,,,,,2020,Sports
Aion: Tower of Eternity,NCSoft,7.4,,,0,2009,Role-Playing
NHL 2K8,2K Sports,,,,0.13,2007,Sports
NBA 09: The Inside,Sony Computer Entertainment,8.2,,,0.17,2008,Sports
USA Today Puzzle Craze,Destineer,,,,0.1,2009,Puzzle
Path of the Warrior,Twisted Pixel Games,,,,,2019,Action
Tokyo Bus Annai: Bijin Bug Guide Tenjou Pack,Fortyfive,,,,,2000,Strategy
Police Quest: SWAT 2,Sierra Entertainment,,,0.4,,1998,Strategy
Himitsu: Tadagaita Natsu,Starfish,,,,,2001,Adventure
The Mansion of Hidden Souls,Sega,,,,,1994,Adventure
D1 Professional Drift Grand Prix Series,Yuke's,,,,0.03,2006,Racing
Ampu-Tea,Kiss,,,0.21,,2014,Misc
The Sims 2: FreeTime,Electronic Arts,,,,0,2008,Simulation
Blades of Vengeance,Electronic Arts,,,,,1993,Platform
Urban Runner,Sierra Entertainment,,,,,1996,Adventure
Heroes of the Storm,Blizzard Entertainment,,,,0.01,2014,Strategy
Appleseed,Visit,,,,,1994,Shooter
The Elder Scrolls: Arena,Bethesda Softworks,,,,,1992,Role-Playing
Escape The Lost Kingdom: The Forgotten Pharaoh,Strategy First,,,,,2010,Misc
Digimon Story: Lost Evolution,Namco Bandai,,,,0.1,2010,Role-Playing
Eternal Champions,Sega,,,,,1993,Fighting
RollerCoaster Tycoon 8 Pack,Avanquest Software,,,,0,2015,Simulation
Taiko no Tatsujin: Appare Sandaime,Namco,,,,0.49,2003,Misc
QuickPick Farmer,Unknown,,,,,2010,Simulation
Wings of Power: WWII Heavy Bombers and Jets,Tri Synergy,,,,,2004,Simulation
Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,Bethesda Softworks,,,,0.1,2009,Role-Playing
Spore Creepy & Cute Parts Pack,Electronic Arts,,,,0,2008,Strategy
Penarium,Team17 Software,,,,,2015,Misc
Hurricane,Aerosoft,,,,,2007,Simulation
Crazy Balloon Lite,Microsoft,,,,,2011,Action
Corpse Killer: Graveyard Edition,Digital Pictures,,,,,1995,Shooter
FarmVille (Facebook),Zynga,,,,,2009,Simulation
Gundam Breaker 2,Namco Bandai Games,,,,0.16,2014,Action
WSC REAL 09: World Snooker Championship,Deep Silver,,,,0.01,2009,Sports
Delver,Priority Interrupt,,,0.13,,2018,Role-Playing
Daiku no Gensan: Robot Teikoku no Yabou,Irem Software Engineering,,,,,1994,Platform
Vitamin X to Z,D3 Publisher,,,,0.06,2011,Adventure
Doomsday Warrior,Renovation,,,,,1993,Fighting
Radiation Island,Atypical Games,,,,,2018,Adventure
Skin Diver,Unknown,,,,,1983,Action
NBA Live 2004,EA Sports,,,,2.03,2003,Sports
Dropzone,Mindscape,,,,,1992,Shooter
Doom II,GT Interactive,9.3,,,3.61,1994,Shooter
QuantZ,Gamerizon,,,,,2008,Puzzle
Jak and Daxter: The Precursor Legacy,SCEA,,,,,2012,Misc
Pipo Saru 2001,Sony Computer Entertainment,,,,,2001,Action
Bleach Advance: Kurenai ni Somaru Soul Society,Sega,,,,,2005,Fighting
Driver: Renegade,Ubisoft,3.5,,,0.09,2011,Racing
Taboo: The Sixth Sense,Tradewest,,,,,1989,Misc
Sekai De Ichiban NG na Koi: Full House,Unknown,,,,,2011,Adventure
Castle of Illusion Starring Mickey Mouse,Sega,,,,,1990,Platform
Streets of Moscow,1C Company,,,,,2010,Racing
Populous II: Trials of the Olympian Gods,Imagineer,,,,,1993,Strategy
TowerFall,Unknown,,,,,2013,Misc
Rabbids Rumble,Ubisoft,,,,,2012,Misc
The Pagemaster,Fox Interactive,,,,,1994,Action
Do Not Fall,XPEC Entertainment,,,,,2013,Misc
Deadly 30,Headup Games,,,0.13,,2014,Action
Microsoft Train Simulator Regional Add-On Pack: USA and Canada,Strategy First,,,,,2002,Simulation
Iron Harvest,Deep Silver,,,,,2020,Strategy
The Guild 2: Venice,DreamCatcher Interactive,,,,,2008,Strategy
Taiko Drum Master: Tokumori!,Namco Bandai Games,,,,0.12,2014,Misc
Hard Drivin' II,Domark Software,,,,,1992,Racing
The Darkness,2K Games,,,1,,2007,Shooter
Towa no Sakura,Idea Factory,,,,,2007,Adventure
Global Defense,Sega,,,,,1987,Shooter
Chaos: The Battle of the Wizards,Games Workshop,,,,,1985,Action
Pro Yakyuu Spirits 5 Kanzenban,Konami,,,,0.05,2008,Sports
Super Destronaut DX,Ratalaika Games,,,,,2018,Shooter
Microsoft Flight Simulator 98,Microsoft,,,,,1997,Simulation
Kung Fu,Nintendo,,,3.5,,1985,Action
Storm over the Pacific,Wastelands Interactive,,,,,2014,Strategy
Kendo Rage,Seta Corporation,,,,,1993,Platform
The Swords of Ditto: Mormo's Curse,Devolver Digital,,,,,2018,Role-Playing
Elie no Atelier GB,Imagineer,,,,,2000,Role-Playing
Angelique Tenkuu no Requiem,KOEI,,,,,1998,Role-Playing
The Games: Summer Challenge,Accolade,,,,,1992,Sports
futureU: The Prep Game for SAT,Aspyr,,,,0.07,2008,Misc
Populous DS,Xseed Games,,,,0.09,2008,Strategy
Disney Golf,Electronic Arts,,,,0.17,2002,Sports
Kintaihi Shounen no Jiken: Kyakusen Eris-Gou no Sangeki,Creative Core,,,,0.03,2009,Adventure
"Sakura Wars: So Long, My Love",NIS America,8.8,,,0.29,2010,Role-Playing
Monster Frenzy,Zoo Games,,,,0.01,2010,Puzzle
RockMan DASH2: Episode 2 Ooinaru Isan,Capcom,,,,,2005,Role-Playing
Kidz Sports: Crazy Golf,Destineer,,,,0.12,2008,Sports
I Love Horses: Rider's Paradise,Destineer,,,,0.02,2010,Simulation
Nation Red,DiezelPower,,,,,2009,Shooter
Grander Musashi RV,Bandai,,,,,1998,Sports
The King of Fighters Portable '94~'98: Chapter of Orochi,SNK Playmore,,,,0.03,2010,Fighting
Hidden Stroke II,CDV Software Entertainment,,,,,2005,Strategy
Jurassic Park III: Park Builder,Konami,,,,0.06,2001,Simulation
Paradroid,Commodore,,,,,2008,Shooter
Smuggler's Run 2: Hostile Territory,Rockstar Games,,,,,2001,Racing
Tecmo Bowl 2,Tecmo,,,,,1994,Sports
Dungeon Maker II: The Hidden War,UFO Interactive,,,,0.08,2008,Role-Playing
Gamics Series Vol. 1: Yokoyama Mitsuteru - San Goku Shi - Vol. 5 - Suishi no Hyou,ASNetworks,,,,,2007,Strategy
Eikou Seminar Koushiki DS Kyouzaki: Shougakkou Eigo - Eitan Zamurai DS,Educational Network,,,,,2009,Misc
Yamasa Digi Selection 2,Yamasa Entertainment,,,,,2008,Misc
Conflict Zone,Ubisoft,,,,0.21,2002,Strategy
Flap for Life,Unknown,,,,,2014,Misc
Innocent Colors: Canvas 2 Fan Disc,F&C,,,,,2004,Adventure
Youda Safari,Foreign Media Games,,,,0,2011,Simulation
Raildale,Unknown,,,,,2014,Misc
PlayerUnknown's Battlegrounds Mobile,Tencent Games,,,,,2018,Shooter
Murder in Venice,City Interactive,,,,0.08,2011,Adventure
Shaiya: Light and Darkness,Aeria Games & Entertainment,,,,,2007,Role-Playing
Owlboy,D-Pad Studio,,,0.25,,2016,Platform
Ice Hokey Slovakia 2011,Unknown,,,,,2011,Sports
Spanish for Everyone!,Activision,,,,0.02,2007,Puzzle
NASCAR Racing Online Series,BudCat Games,,,,,2007,Misc
AMY,Lexis Numerique,,,,,2012,Action
Onigiri,"CyberStep Communications, Inc.",,,,,2015,Role-Playing
No More Heroes 2: Desperate Struggle,Ubisoft,8.5,,,0.4,2010,Action
Kamen Rider: Dragon Knight,D3 Publisher,,,,0.06,2009,Fighting
Tiger Woods PGA Tour Golf,"Destination Software, Inc",,,,0.04,2002,Sports
The Lord of the Rings,Melbourne House,,,20.17,,1982,Action-Adventure
Zoobles! Spring to Life!,Activision,,,,0.13,2011,Misc
Hangeki,Unknown,,,,,2014,Shooter
Star Girl: Valentine Hearts,Animoca,,,,,2014,Misc
SD Gundam Force: Showdown!,Bandai,,,,0.04,2004,Shooter
Chuck's Challenge 3D,Unknown,,,,,2014,Misc
Game & Watch Gallery 2,Nintendo,,,1.22,,1998,Misc
Age of Empires Gold Edition,Microsoft,,,,0,1999,Strategy
Earth Defense Force 2025,D3Publisher,,,,0.36,2014,Shooter
Order of War,Square Enix,,,,0.02,2009,Strategy
The Royal Trap,Fabio Ricci,,,,,2013,Misc
DreamOn Volume 2,Sega,,,,,2000,Misc
Sleeping Dogs: Definitive Edition,Square Enix,,,,0.44,2014,Action
Konami Antiques MSX Collection Ultra Pack,Konami,,,,,1998,Misc
Marvel's Guardians of the Galaxy: The Telltale Series,Warner Bros. Interactive Entertainment,,,,0.12,2017,Adventure
Crimson Room Reverse,Success,,,,0,2008,Adventure
IL-2 Sturmovik: Cliffs of Dover,Ubisoft,5,,,0.05,2011,Simulation
Gyruss,Ultra Games,,,,,1989,Shooter
Blast Corps,Nintendo,9.1,,,0.71,1997,Action
RollerCoaster Tycoon: Corkscrew Follies Expansion,Microprose,,,,,1999,Strategy
Life is Strange,Square Enix,,,,0.12,2016,Adventure
R4: Ridge Racer Type 4,Namco,9.1,,,2.06,1999,Racing
Guess The Emoji - Logo Quiz,Unknown,,,,,2014,Action
Blue Fire,Graffiti,,,,,2021,Action-Adventure
Super Mario Galaxy,Nintendo,9.7,9.6,12.8,,2007,Platform
Riptide GP: Renegade,Vector Unit,,,,,2017,Racing
Mamoru-kun wa Norowarete Shimatta! Meikai Katsugeki Wide-Han,CyberFront,,,,,2011,Shooter
The Koala Brothers: Outback Adventures,Game Factory,,,,0,2006,Action
Proxy Blade Zero,Unknown,,,,,2014,Action
Little Battlers eXperience Boost,Level 5,,,,,2011,Role-Playing
Uta no?Prince-sama? MUSIC 2,Broccoli,,,,0.09,2013,Music
Fast Food,Unknown,,,,0.29,1982,Action
Thunder Truck Rally,Psygnosis,,,,0.14,1997,Racing
Ghost of Tsushima,Sony Interactive Entertainment,,,9.73,,2020,Action-Adventure
V-Rally 2: Expert Edition,Infogrames,,,,,2000,Racing
Two Point Hospital,Sega,,,,,2020,Simulation
Marie no Atelier Plus: Salburg no Renkinjutsushi,Gust,,,,,1998,Role-Playing
Langrisser III,NCS,,,,0.2,1996,Strategy
GG Aleste,Compile,,,,,1991,Shooter
Michael Jackson: The Experience,Ubisoft,5.6,,,4.37,2010,Misc
The King of Fighters '95 (CD),SNK,,,,0.23,1995,Fighting
Ultraman Tiga & Ultraman Dyna: New Generations,Bandai,,,,,1998,Platform
XCOM: Enemy Unknown,2K Games,9,,,0.72,2012,Strategy
Parlor! Pro 64: Pachinko Jikki Simulation Game,Telenet,,,,,1999,Misc
Horn Swaggle Islands,Microsoft,,,,,2009,Strategy
Hakuouki: Yuugi Roku,Idea Factory,,,,0.07,2010,Adventure
Teitoku no Ketsudan IV with Power-Up Kit,KOEI,,,,,2004,Strategy
Crazy Coins,Microsoft,,,,,2009,Misc
Pro Pinball: Fantastic Journey,Empire Interactive,,,,,1999,Simulation
HIS (Heroes In the Sky),GameUS Inc.,,,,,2015,Simulation
Tom Clancy's Splinter Cell: Conviction,Ubisoft,8.6,,,2.06,2010,Action
Blade Strangers,Nicalis,,,,0.02,2018,Fighting
Tetraminos,Big Ben Interactive,,,,,2011,Puzzle
The Secret of Monkey Island: Special Edition,LucasArts,,,,,2010,Adventure
The Oregon Trail 3rd Edition,The Learning Company,,,,,1997,Strategy
Assassin's Creed Valhalla,Ubisoft,,,,,2020,Action-Adventure
Ski Crazed,Baudville,,,0,,1987,Sports
White Night,Rebellion Developments / Saffire,,,,,2015,Adventure
Total War: Anthology,Sega,,,,,2009,Strategy
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Tecmo Koei,,,,0.06,2018,Role-Playing
Polaris,Tigervision,,,,0.28,1983,Action
Aliens: Infestation,Sega,8.5,,,0.17,2011,Action
Disney Infinity 2.0: Marvel Super Heroes,Disney Interactive Studios,,,,1.11,2014,Action-Adventure
Tower Toppler,Commodore,,,,,2009,Platform
Mahjong Mysteries: Ancient Egypt,Avanquest Software,,,,0,2010,Puzzle
They Need To Be Fed,Direct Solutions,,,,,2014,Misc
PES Manager,Konami Digital Entertainment,,,,,2014,Misc
Makai Hakkenden Shada,Data East,,,,,1989,Role-Playing
Final Fantasy XV Multiplayer: Comrades,Square Enix,,,,,2018,Role-Playing
Lucha Libre AAA: Heroes del Ring,Konami,,,,0.11,2010,Fighting
Satellite 7,Sega,,,,,1985,Shooter
Anno 2205,Ubisoft,,,,0.23,2015,Strategy
Story of Seasons,Xseed Games,7.7,,,0.44,2015,Misc
Defender II,Atari,,,,0.45,1988,Shooter
Mighty No. 9,Deep Silver,,,,0.11,2016,Platform
ShootMania Storm,Ubisoft,,,,,2013,Misc
Star Wars: Bounty Hunter,LucasArts,,,,1.09,2002,Shooter
MX vs. ATV: Alive,THQ,6.9,,,0.46,2011,Racing
Volleyball Challenge,505 Games,,,,,2004,Sports
Atelier Shallie Plus: Alchemists of the Dusk Sea,Tecmo Koei,,,,0.05,2017,Role-Playing
Ultraman Club: Chikyuu Dakkan Sakusen (FDS),Bandai,,,,,1988,Role-Playing
ABC Monday Night Football '98,Unknown,,,,,1997,Sports
White Album: Tsuzurareru Fuyu no Omoide,Aquaplus,,,,0.05,2010,Adventure
Dragon Quest X: All in One Package Ver.1-4,Square Enix,,,,0.03,2018,MMO
Haniu Meijin no Omoshiro Shogi,Tomy Corporation,,,,,1995,Misc
Astebreed,Edelweiss,,,,,2014,Action
SingStar Country,Sony Computer Entertainment,,,,0.28,2008,Misc
Pictionary,THQ,,,,0.86,2010,Misc
Happy Feet,Midway Games,,,,0.31,2006,Adventure
Quest 64,THQ,5.4,,,0.47,1998,Role-Playing
The Baseball 2003: Akikigou,Konami,,,,,2003,Sports
Combat Flight Simulator 2: WWII Pacific Theater,Microsoft,,,,,2000,Simulation
Eternal Poison (JP sales),Atlus,,,,0.13,2008,Role-Playing
Ultimate Board Game Collection,Valcon Games,,,,0.15,2007,Misc
Winx Club: Saving Alfea,Namco Bandai Games,,,,0.01,2014,Action
Worms Crazy Golf,Team17 Software,,,0.13,,2011,Sports
Yamasa Digi World SP: Bounty Killer,Yamasa Entertainment,,,,,2008,Misc
Larva Mortus,Rake in Grass,,,,,2008,Misc
Orcs Must Die!,Unknown,8.1,,,,2011,Strategy
Brave Sword,Sammy Corporation,,,,,2000,Strategy
D4: Dark Dreams Don't Die,Microsoft Studios,,,,,2013,Adventure
Gaia Online MMO,Unknown,,,,,2008,Role-Playing
LostWinds,Frontier Developments,8.2,,,,2008,Platform
Bill Laimbeer's Combat Basketball,Hudson Soft,,,,,1991,Sports
Sepas Channel,G-mode,,,,,2010,Role-Playing
Power Rangers Samurai,Namco Bandai,,,,0.32,2011,Action
Master of Orion,Microprose,,,0.13,,1993,Strategy
Hayarigami Portable: Keishichou Kaii Jiken File,Nippon Ichi Software,,,,,2005,Adventure
Hanafuda Trump Mahjong: Depachika Wayounaka,Global A Entertainment,,,,,2002,Misc
Marvel Pinball: Vengeance and Virtue,Zen Studios,,,,,2011,Misc
Junction,Micronet,,,,,1991,Puzzle
We Sing Rock!,Nordic Games,,,,0.08,2011,Misc
Family Farm Seaside,Rich Olson,,,,,2013,Misc
Mean 18 Golf,Atari,,,,,1989,Sports
Stubbs the Zombie in Rebel Without a Pulse,Aspyr,,,,0.11,2005,Action
Oretachi Game Center Zoku Sono 4: Time Pilot,Hamster Corporation,,,,,2005,Shooter
Nintama Rantarou Special,Culture Brain,,,,,1996,Action
Rise of the Robots,Acclaim Entertainment,,,,,1994,Fighting
Megatokyo,Supersonic,,,,,2020,Misc
Tropico 3: Gold Edition,Kalypso,,,,0.01,2010,Strategy
Under Night In-Birth,Aksys Games,,,,0.14,2015,Fighting
Wild ARMs 3,Sony Computer Entertainment,7.6,,,0.62,2002,Role-Playing
National Geographic Challenge!,Ignition Entertainment,,,,0.1,2011,Misc
Hydro Thunder Hurricane: Tempest Pack,Microsoft Game Studios,,,,,2010,Racing
Revenge of the Wounded Dragons,Sony Online Entertainment,7.5,,,,2009,Action
War for the Overworld,Unknown,,,0.36,,2015,Misc
After Armageddon Gaiden: Majuu Toushouden Eclipse,Sega,,,,,1994,Role-Playing
Get Ride! AMDrive Shutsugeki! Battle Party,Konami,,,,,2004,Misc
Foto Frenzy: Spot The Diffrence,Storm City Games,,,,0.31,2009,Puzzle
Are You Smarter than a 5th Grader?,THQ,,,,0.53,2007,Misc
Potpourrii,Abstraction Games,,,,,2008,Puzzle
Escape Quest,Unknown,,,,,2014,Adventure
Simple 1500 Series Vol. 74: The Horror Mystery,D3 Publisher,,,,,2001,Adventure
Suspect,Infocom,,,0.05,,1984,Adventure
Space Hunted: The Lost Levels,Ultra Dolphin Revolution,,,,,2020,Action
Card Games,Agetec,,,,0.07,2001,Misc
Past Cure,Phantom 8 Studio,,,,0.03,2018,Action
Command & Conquer Collection,Electronic Arts,,,,0.02,2003,Strategy
Reflexions,Tripwire Interactive,,,,,2011,Misc
Take Arms,Microsoft,,,,,2011,Platform
Shrek,TDK Mediactive,,,,0.36,2001,Platform
Pixel Hunter,Lemondo Entertainment,,,,,2015,Action
Link Attack,Microsoft,,,,,2009,Puzzle
Pong Toss! Frat Party Games,JV Games Inc.,,,,,2008,Misc
Apocripha/0,GN Software,,,,,2004,Adventure
Blue Toad Murder Files: The Mysteries of Little Riddle - Episode Five,Relentless Software,,,,,2010,Adventure
Disney's A Christmas Carol,Disney Interactive Studios,,,,0.24,2009,Adventure
Prey (2017),Bethesda Softworks,,,1.5,,2017,Shooter
Ben and Ed - Blood Party,Sluggerfly,,,,,2018,Platform
Hanaoni: Koisomeru Koku - Eikyuu no Shirushi,Idea Factory,,,,0.04,2011,Adventure
Magic Knight Rayearth,Working Designs,,,,,1998,Role-Playing
Buku Sudoku,Merscom LLC,,,,,2006,Puzzle
Tetris Party Deluxe,Majesco,,,,0.77,2010,Puzzle
Dynogems,StormBASIC,,,,,2010,Puzzle
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",Sony Computer Entertainment,,,,0.19,2009,Adventure
Command & Conquer: Generals 2,Electronic Arts,,,,,2020,Strategy
Curse: The Eye of Isis,DreamCatcher Interactive,,,,0.01,2003,Adventure
Lands of Lore III,Westwood Studios,,,,,1999,Role-Playing
Virtua Pro Football,Sega,,,,0.02,2006,Sports
Summoner: A Goddess Reborn,THQ,8,,,0.05,2003,Role-Playing
Mystery Case Files: MillionHeir,Nintendo,7.4,,1.18,,2008,Adventure
ESPN Winter X-Games: Snowboarding 2002,Konami,,,,0.06,2001,Sports
Otoko Yukaku,D3Publisher,,,,0.02,2015,Visual Novel
Fushigi no Dungeon - Furai no Shiren 4 Plus: Kami no Hitomi to Akuma no Heso,Spike,,,,0.04,2012,Role-Playing
ClayFighter 63 1/3,Interplay,3.1,,,0.21,1997,Fighting
Magic Destiny -Astrological Games-,Unknown,,,,,2011,Misc
Toriko: Gourmet Monsters!,Namco Bandai Games,,,,0.16,2012,Role-Playing
Petz Fantasy: Sunshine Magic,Ubisoft,,,,0.08,2010,Simulation
Dragon Quest III: Soshite Densetsu e...,Enix,,,1.4,,1996,Role-Playing
Shatter,Sidhe Interactive,8.4,,,,2009,Puzzle
Mahjong World Contest,8Floor,,,,,2014,Misc
Harvest Moon GB,Natsume,,,,0.23,1998,Simulation
Ocean Depths,Unknown,,,,,2004,Simulation
Conqueror A.D. 1086,Activision,,,,,1995,Simulation
ESPN X-Games Pro Boarder,Electronic Arts,,,,0.32,1998,Sports
The King of Fighters '98: The Slugfest (CD),SNK,,,,,1998,Fighting
Ninjabread Man,Conspiracy Entertainment,,,,0.08,2007,Action
My Pet Shop (JP sales),Taito,,,,0.03,2009,Simulation
Limbo,Playdead,,,6,,2010,Platform
Rapala Pro Bass Fishing,"Activision Publishing, Inc.",,,,,2012,Sports
Just Dance 2016,Ubisoft,,,,1.11,2015,Music
SuperCar Challenge,System 3 Arcade Software,,,,0.03,2009,Racing
Critical Path,Media.Vision Entertainment,,,,,1993,Adventure
The King of Fighters 2002,Ignition Entertainment,,,,,2005,Fighting
Sudoku 4Pockets,4Pockets.com,,,,,2010,Puzzle
Lego Batman,Warner Bros. Interactive Entertainment,,,14.4,,2008,Action-Adventure
Spin Jam,Empire Interactive,,,,0.31,2000,Puzzle
The Tales of Bearsworth Manor: Chaotic Conflicts,Square Enix,,,,,2010,Puzzle
Nobunaga no Yabou: Tenshoki,KOEI,,,,0.17,1996,Strategy
Comanche 4,NovaLogic,,,,0,2001,Simulation
Shinseiki Evangelion: Ayanami Rei Ikusei Keikaku,Broccoli,,,,,2002,Strategy
Grandia Digital Museum,ESP,,,,,1998,Role-Playing
Hollywood Escape,Unknown,,,,,2014,Action
Dexter's Laboratory Deesaster Strikes,BAM! Entertainment,6.5,,,0.41,2001,Adventure
MUJO,Oink Games,,,,,2017,Puzzle
PC Fútbol 2006,Planeta DeAgostini Interactive,,,,,2005,Sports
Midnight Club 3: DUB Edition Remix,Rockstar Games,,,,1.16,2006,Racing
Spotto!,Nintendo,,,,,2010,Action
The Dig,LucasArts,,,0.3,,1995,Adventure
River City Ransom EX,Atlus,,,,0.07,2004,Action
James Bond 007: Nightfire,Electronic Arts,,,,3.33,2002,Shooter
Simple 1500 Series Vol. 57: The Meiro,D3 Publisher,,,,,2001,Action
Dracula: Undead Awakening,Chillingo,,,,,2010,Action
Invader,Xicat Interactive,,,,,2002,Shooter
Super Puzzle Fighter II Turbo HD Remix,Capcom,,,,,2007,Puzzle
yOm_fury,Microsoft,,,,,2009,Action
Sqong Christmas,Microsoft,,,,,2009,Misc
Hyper Formation Soccer,Human Entertainment,,,,0.11,1995,Sports
Gears of War 4,Microsoft Studios,,,,3.38,2016,Shooter
The Tower SP,Sega,,,,0,2006,Simulation
The Climb,Crytek,,,,,2016,Action
Ogura Hyakunin Isshu,Unknown,,,,,1995,Misc
Magical Starsign (JP sales),Nintendo,,,,0.04,2006,Role-Playing
Animaniacs Splat Ball,SouthPeak Interactive,,,,,1999,Sports
Spice World,Psygnosis,,,,0.67,1998,Action
Thundercade,Sammy Corporation,,,,,1989,Shooter
P.T.O.: Pacific Theater of Operations,KOEI,,,,,1993,Strategy
Takeda Shingen,Aicom,,,,,1989,Action
Dragons & Titans,"Thunderstorm Entertainment Inc.,",,,,,2020,Misc
Ikibago,Neko Entertainment,,,,,2011,Puzzle
D.C.: Da Capo,MangaGamer,,,,,2009,Adventure
The Deer God,Crescent Moon Games,,,,,2015,Adventure
Inferno!,Microsoft,,,,,2011,Action
Pro Yakyuu Spirits 5,Konami,,,,0.18,2008,Sports
Front Mission 5: Scars of the War,Square Enix,,,0.2,,2005,Strategy
Looney Tunes: Taz Express,Infogrames,,,,,2000,Platform
Dungeons & Dragons Heroes,Atari,,,,0.26,2003,Role-Playing
AFL Live Premiership Edition,Acclaim Entertainment,,,,,2004,Sports
Toeic Test: Jissen Tokkun,Media5,,,,,2012,Misc
Makai Ouji: Devils and Realist - Dairiou no Hihou,Namco Bandai Games,,,,0.01,2013,Visual Novel
The Last Blade 2: Heart of the Samurai,Agetec,8,,,,2001,Fighting
Who Wants to Be a Millionaire: 3rd Edition,Ubisoft,,,,0.1,2010,Misc
"Iza, Shutsujin! Koisen",Quinrose,,,,0.01,2011,Adventure
Omega One,StarSystemStudios,,,0.13,,2017,Shooter
Legaia 2: Duel Saga,Eidos Interactive,,,,0.26,2002,Role-Playing
