Game,Publisher,Critic_Score,User_Score,Copies,Total_Sales,Year,Genre
Homeworld: Cataclysm,Sierra Entertainment,,,,0,2000,Strategy
Red Dead Redemption,Rockstar Games,9.5,,,6.57,2011,Action
Trials HD,Ubisoft,,,,,2013,Misc
Twilight Syndrome: Kyuumeihen,Human Entertainment,,,,,1996,Adventure
Super Robot Taisen A Portable,Namco Bandai,,,,0.18,2008,Strategy
My First Songs,Mindscape,,,,0.08,2010,Misc
Bouncy Bullets,Ratalaika Games,,,,,2019,Platform
Wrath of the Black Manta,Taito,,,,,1990,Platform
Crash Team Racing Nitro-Fueled,Activision,,,,,2019,Racing
Music on: Playing Piano,Abylight,,,,,2010,Misc
Hamster Club i,Jorudan,,,,,2002,Simulation
Out of the Park Baseball 3,Out of the Park Developments,,,,,2001,Sports
Nemurenu Yoru no Chiisana Ohanashi,NEC,,,,,1993,Adventure
Shanghai: Triple Threat,Activision,,,,,1995,Misc
Mei * Puru,Princess Soft,,,,,2002,Adventure
Age of Pirates: Caribbean Tales,Playlogic Game Factory,,,,0,2006,Role-Playing
QUIZ PARTY,CK Games,,,,0.03,2012,Misc
Bishoujo Senshi Sailor Moon,Angel Studios,,,,,1992,Action
New Super Mario Bros. 2,Nintendo,7.5,,13.41,,2012,Platform
Stahlfeder,Santos,,,,,1996,Shooter
Stargate Resistance,FireSky,,,,,2010,Shooter
Let's Paint,Zoo Games,,,,0.07,2010,Simulation
Fallout 3: The Pitt,Bethesda Softworks,,,,,2009,Role-Playing
Nakadashi Haramase Shinyaku Chousa,Unknown,,,,,2011,Adventure
Snow Rider,Phoenix Games,,,,,2006,Sports
Virtua Squad 2,Sega,,,,,1997,Shooter
Adam's Venture Episode 3: Revelations,Vertigo Games,,,,,2012,Misc
AlphaBounce,Mad Monkey Studio,9,,,,2010,Puzzle
Project Eden,Eidos Interactive,,,,0.09,2001,Action
Taiyou no Yuusha Fighbird GB,Irem Software Engineering,,,,,1991,Shooter
The Oracle,Microsoft,,,,,2009,Misc
The Adventures of Gilligan's Island,Bandai,,,,,1990,Adventure
Orcs Must Die! 2,Robot Entertainment,,,,,2012,Misc
Reflex!,Screen 7,,,,,2014,Misc
de Blob,THQ,8.1,8,0.7,,2008,Platform
Goin' Downtown,Unknown,,,,,2008,Adventure
Me and My Dogs: Friends Forever,Gameloft,,,,,2010,Simulation
Major League Baseball Featuring Ken Griffey Jr,Nintendo,,,,0.79,1998,Sports
Darksiders Genesis,THQ Nordic,,,,,2020,Action-Adventure
Learn to Play Chess with Fritz & Chesster 2: Chess in the Black Castle,Viva Media,,,,,2004,Misc
Buzzer Beater (Zenpen),Sony Computer Entertainment,,,,,1999,Misc
Watchmen: The End Is Nigh Part 2,Warner Bros. Interactive,,,,,2009,Action
Kabama,Triangle Service,,,,,2014,Misc
Disney's Kim Possible 3: Team Possible,Disney Interactive Studios,9,,,0.46,2005,Platform
FIFA 99,EA Sports,,,,0.54,1998,Sports
Pele's Championship Soccer,Atari,,,,,1980,Sports
UnchainBlades ReXX,Atlus,,,,0.06,2012,Role-Playing
Mega Man Zero/ZX Legacy Collection,Capcom,,,,,2020,Platform
1000 Tiny Claws,Mediatonic,,,,,2011,Action
Avalon Code,Marvelous Interactive,7.1,,,0.24,2009,Role-Playing
Chocobo's Mystery Dungeon: Every Buddy!,Square Enix,,,,,2019,Role-Playing
Mario Strikers Charged,Nintendo,7.7,,2.6,,2007,Sports
Baldur's Gate: Siege of Dragonspear,Beamdog,,,,,2019,Role-Playing
Monster Hunter Portable 3rd HD Ver.,Capcom,,,,,2010,Misc
Zoo Quest: Puzzle Fun!,DreamCatcher Interactive,,,,0.04,2008,Puzzle
Matching With Friends,Zynga,,,,,2013,Misc
Wild West Guns,Gameloft,,,,,2008,Shooter
Minds and Mystery: 5 Game Pack,Focus Multimedia,,,,0.01,2014,Action
NCAA Football 13,EA Sports,7.5,,,1.11,2012,Sports
Kaena,Namco,,,,,2004,Adventure
Jikkyou Powerful Pro Yakyuu 2014,Konami Digital Entertainment,,,,0.17,2014,Sports
Soldier of Fortune II: Double Helix,Activision,,,,0.23,2003,Shooter
Armello,League of Geeks,,,,0.02,2018,Strategy
Pocoro,Microsoft,,,,,2009,Puzzle
Ready 2 Rumble Boxing,Midway Games,7.6,,,1.08,1999,Sports
Total War: WARHAMMER,Sega,,,2.09,,2016,Strategy
Shirotsume Souwa: Episode of the Clovers,Unknown,,,,,2002,Adventure
TwinBee RPG,Konami,,,,,1998,Role-Playing
Tile Temple Tactics,AppyNation Ltd.,,,,,2014,Misc
Escape - Living Room,Mobest Media,,,,,2013,Misc
Ultraman Powered,Bandai,,,,,1994,Action
Rise of the Argonauts,Codemasters,5.3,,,0.19,2008,Action
Rocketbirds 2: Evolution,Unknown,,,,,2020,Misc
Banana Split,Microsoft,,,,,2009,Platform
Ports of Call,Domark Software,,,,,1989,Simulation
Pinball FX 3,Zen Studios,,,,,2017,Simulation
Wakusei Koukitai Little Cats,Family Soft,,,,,1998,Simulation
Need for Speed: Shift 2 Unleashed,Electronic Arts,8.4,,,0.67,2011,Racing
Gus and the CyberBuds Software SchoolHouse Collection,Modern Media Ventures,,,,,1996,Misc
Alienators: Evolution Continues,Activision,7,,,0.03,2001,Action
Irritating Stick,Jaleco,,,,0.02,1999,Action
SNK Heroines: Tag Team Frenzy,NIS America,,,0.3,,2018,Fighting
Romance of the Three Kingdoms II,KOEI,,,,0.25,1992,Strategy
Hasbro Family Game Night: Sorry! Sliders,Electronic Arts,,,,,2009,Misc
Art Style: Rotozoa,Nintendo,,,,,2010,Puzzle
Animaniacs: A Gigantic Adventure,SouthPeak Interactive,,,,,1999,Platform
Sid Meier's Pirates!,2K Games,8.5,,,0.2,2007,Strategy
LOL Runner,Microsoft,,,,,2009,Sports
WinBack 2: Project Poseidon,KOEI,,,,0.01,2006,Shooter
Jampack Vol. 2,Sony Computer Entertainment,,,,0.53,1997,Misc
SimCity (2013),Electronic Arts,,,2,,2013,Simulation
Mat Hoffman's Pro BMX,Activision,,,,0.54,2001,Sports
Snoopy no Aiken DS: Chitte Okitai Inu no Koto - Inu no Nouryoku - Anata no Shitsuke,Hachikou Shouji,,,,,2009,Misc
Pimp My Ride,Activision,,,,0.11,2008,Racing
Black Wolves Saga: Weiss und Schwarz,Idea Factory,,,,0.01,2017,Adventure
Let's TAP,Sega,7,,,0.17,2009,Misc
Journey Collector's Edition,Sony Computer Entertainment,,,,,2015,Misc
Super Bomberman: Panic Bomber W,Hudson Soft,,,,,1995,Puzzle
Phineas and Ferb Ride Again,Disney Interactive Studios,,,,0.3,2010,Action
Tank Battles,Gameloft,,,,,2009,Shooter
Finger Connection,Sony Computer Entertainment,,,,,2010,Misc
Dr. Ruth's Computer Game of Good Sex,Hasbro Interactive,,,,,1986,Misc
Hakuoki: Warriors of the Shinsengumi,Aksys Games,,,,0.05,2013,Simulation
SBK: Snowboard Kids,Atlus,,,,0.02,2005,Sports
Pro Baseball Spirits 2015,Konami Digital Entertainment,,,,0.16,2015,Sports
Alex Rider: Stormbreaker,THQ,,,,,2006,Action
Prince of Persia Trilogy,Ubisoft,8.3,,,0.51,2011,Action
Europa Universalis II,Strategy First,,,,,2001,Strategy
Kakuge-Yaro: Fighting Game Creator,IPC Software,,,,,2000,Fighting
Dance Dance Revolution Disney Mix,Konami,,,,0.04,2001,Simulation
Pac-Land,Atari,,,,,1992,Platform
EverQuest II: Desert of Flames,Sony Online Entertainment,,,,,2005,Role-Playing
Meltdown (2013),Bulkypix,,,,,2013,Misc
